Song,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,time
Your Wish,0.477,0.856,8,-6.514,1,0.101,0.0478,0.0771,0.56,124.84,236.32,4
Dust It Off,0.52,0.202,6,-13.159,0,0.0336,0.963,0.0891,0.342,133.842,222,4
Je bois et puis je danse,0.684,0.736,9,-5.12,1,0.0458,0.0214,0.0671,0.816,94.942,268.8,4
Au tir ö la carabine,0.756,0.396,0,-7.188,1,0.0409,0.575,0.111,0.44,169.992,199.88,4
The Less I Know (The Better),0.643,0.864,11,-6.142,0,0.0387,0.144,0.366,0.78,93.985,230.52,4
Promises,0.378,0.387,2,-9.016,0,0.0377,0.397,0.0842,0.128,99.983,259.911,4
Le beefteak,0.589,0.728,9,-7.629,0,0.0344,0.327,0.577,0.373,80.019,233.587,4
La bonne _toile (Live),0.545,0.171,1,-14.691,0,0.136,0.956,0.942,0.425,104.253,371.832,4
Quand on arrive en ville,0.806,0.328,2,-11.641,0,0.317,0.499,0.15,0.362,92.019,218.01,4
Qu'attendez Vous De Moi ?,0.727,0.6,4,-8.383,1,0.0393,0.307,0.0836,0.624,104.989,240.203,3
Leave My Room,0.704,0.619,11,-8.863,1,0.0315,0.00149,0.0658,0.512,120.984,327.693,4
The Most,0.583,0.673,2,-11.457,1,0.0268,0.00846,0.303,0.19,111.983,329,4
Misunderstood,0.46,0.622,9,-8.834,1,0.269,0.0356,0.138,0.289,159.607,238.68,3
Howling Wolf (Thylacine Remix),0.545,0.64,4,-9.03,0,0.0946,0.137,0.112,0.0394,95.999,188.985,4
Ad_la¥de,0.519,0.767,10,-4.828,1,0.0327,0.475,0.284,0.564,135.229,172.36,4
Look at Them,0.53,0.284,2,-8.126,1,0.0351,0.392,0.183,0.121,123.883,215.667,4
I Can Wait,0.738,0.883,0,-5.663,1,0.0341,0.0654,0.313,0.894,120.155,192.96,4
Bluff,0.679,0.832,1,-6.448,1,0.0281,0.00491,0.151,0.889,132.014,161.194,4
Comets,0.564,0.518,9,-10.034,0,0.0751,0.459,0.0745,0.0864,144.063,258.557,4
No Bull(feat. Twice & Lil Patt),0.716,0.625,7,-5.44,0,0.107,0.259,0.151,0.566,185.975,263.16,4
Je suis la montagne,0.501,0.773,2,-6.041,1,0.0333,0.0374,0.701,0.704,129.995,292.522,4
Rester avec toi,0.626,0.856,7,-9.915,1,0.0605,0.0718,0.0799,0.883,83.505,221.457,4
Paradis,0.457,0.871,11,-5.24,0,0.1,0.244,0.159,0.632,193.898,222.067,4
Daytime nighttime,0.647,0.566,4,-5.884,0,0.0292,0.00238,0.0814,0.63,82,271.293,4
A Young Gun,0.597,0.505,8,-8.747,0,0.0342,0.00871,0.119,0.465,97.658,260.485,4
U-Turn (Lili) (Live),0.552,0.155,9,-12.497,0,0.0387,0.825,0.71,0.0768,148.01,268.147,4
Vampire,0.571,0.746,7,-6.496,0,0.0935,0.0507,0.169,0.606,174.031,203.04,4
Purple Rose,0.846,0.538,3,-8.316,0,0.113,0.0104,0.0548,0.578,104.008,397.247,4
South Seas,0.698,0.465,9,-10.676,1,0.0615,0.602,0.107,0.219,108.187,227.892,4
The Story of a Magnificent Blowjob,0.5,0.632,1,-7.428,0,0.0431,0.105,0.0964,0.271,124.132,196,4
Come On,0.559,0.81,0,-4.784,1,0.0492,0.0404,0.173,0.824,173.602,178.537,3
Hush,0.679,0.588,7,-7.523,0,0.044,0.393,0.139,0.092,95.987,259.253,4
Les oiseaux l'ont mang_,0.416,0.36,10,-13.616,1,0.0416,0.652,0.326,0.231,151.873,241.48,3
My Head Is Into You,0.473,0.779,9,-7.032,0,0.041,0.0517,0.0725,0.0846,145.098,276.696,4
The Double,0.595,0.594,0,-6.897,1,0.0334,0.0114,0.0825,0.256,103.001,301.393,4
Vieille chaine,0.593,0.139,9,-11.48,1,0.044,0.858,0.0932,0.203,113.465,199.067,4
Hide Away (feat. Holly),0.788,0.795,1,-5.083,0,0.105,0.146,0.205,0.902,114.016,175.337,4
Stupid,0.554,0.618,9,-6.544,0,0.0315,0.311,0.228,0.406,82.974,275.707,4
Hidden Wealth,0.563,0.612,3,-8.692,0,0.0326,0.38,0.0817,0.174,126.094,236.387,4
The Fields,0.474,0.65,11,-8.838,0,0.0262,0.626,0.179,0.305,156.031,317.972,4
Descends,0.82,0.653,11,-8.484,0,0.135,0.182,0.362,0.867,99.984,217.728,4
Filme moi,0.667,0.51,6,-7.471,0,0.0336,0.192,0.108,0.673,97.996,209.907,4
Circuit 71,0.566,0.503,3,-8.804,1,0.0346,0.354,0.214,0.402,117.903,200.266,4
Part V,0.548,0.779,1,-7.553,1,0.0414,0.00444,0.0942,0.291,144.989,271.827,4
Magie noire,0.631,0.866,7,-6.188,1,0.0963,0.00795,0.0512,0.395,122.026,247.072,4
Caf_ine,0.632,0.604,9,-8.697,0,0.0391,0.125,0.347,0.466,92.038,279.84,4
Shiver,0.714,0.517,8,-12.514,0,0.157,0.751,0.112,0.331,97.133,312,4
The Closest Ghost,0.887,0.466,0,-11.969,0,0.375,0.287,0.362,0.537,125.008,215.961,4
The Night,0.688,0.576,1,-6.086,1,0.0376,0.00451,0.134,0.54,99.991,290.539,3
M.F.C,0.559,0.797,11,-6.367,1,0.0439,0.00234,0.106,0.211,160.023,242.893,4
Fall in Deep,0.686,0.642,0,-6.711,1,0.0708,0.11,0.192,0.559,111.968,217.173,4
Bleu,0.658,0.733,1,-6.069,0,0.033,0.0383,0.239,0.536,119.989,256.307,4
Une miss s'immisce,0.662,0.724,8,-7.946,1,0.0292,0.0105,0.156,0.123,100.001,313.053,4
Les choses qu'on ne peut dire ö personne,0.595,0.72,9,-4.074,0,0.0348,0.151,0.0566,0.639,170.125,224.893,4
Vas-Y Fais-Le Vite,0.725,0.471,1,-12.155,1,0.0495,0.0262,0.118,0.48,159.983,263.493,4
Br_ler bruyamment,0.57,0.448,8,-9.589,1,0.029,0.0822,0.0801,0.499,168.031,218.178,4
Closer feat. Chlo_,0.44,0.751,9,-9.022,1,0.0922,0.157,0.0838,0.0772,72.004,301.6,3
Again,0.651,0.38,9,-13.091,1,0.0466,0.337,0.303,0.218,105,242.006,4
Long Way Home,0.639,0.859,5,-6.908,0,0.0368,0.103,0.105,0.0397,103.208,331,4
The Beast,0.696,0.628,0,-7.467,1,0.0418,0.165,0.104,0.198,104.971,198.857,4
Canon,0.522,0.5,7,-9.231,0,0.0328,0.31,0.0929,0.304,145.864,257.96,4
Cent fois,0.859,0.588,2,-9.092,1,0.159,0.185,0.0367,0.777,126.06,225.947,4
Soleil noir,0.688,0.316,1,-11.031,1,0.0821,0.754,0.117,0.264,148.011,226.76,4
Season,0.666,0.56,1,-9.651,1,0.0366,0.346,0.133,0.358,124.992,213.827,4
Tªt le matin,0.471,0.545,10,-7.084,0,0.277,0.477,0.0817,0.393,149.808,224.082,4
El Rezo,0.419,0.702,1,-6.285,0,0.0555,0.0795,0.124,0.284,103.97,263.074,4
Gul l%u2019Abi,0.655,0.495,2,-6.502,1,0.0317,0.00788,0.33,0.0377,105.01,254.84,4
The Insider,0.562,0.461,11,-9.19,0,0.0256,0.208,0.0882,0.375,96.005,265,4
La Californie,0.428,0.53,1,-9.381,1,0.0455,0.0418,0.106,0.0764,92.847,254.282,4
Summer Light,0.541,0.84,0,-6.63,1,0.0292,0.000683,0.209,0.386,128.035,295.24,4
Press Start,0.677,0.582,9,-7.946,0,0.0332,0.000258,0.167,0.639,100.037,204.133,4
Rocket Number 9 - Gesaffelstein Remix,0.633,0.458,5,-9.101,0,0.127,0.000162,0.0608,0.113,117.006,328.994,4
Mary,0.711,0.759,4,-6.271,0,0.0352,0.00694,0.211,0.644,120.026,200.92,4
Victorius,0.611,0.627,9,-8.923,1,0.0342,0.141,0.208,0.208,95.998,292.78,4
Poisson volant,0.809,0.359,4,-10.824,0,0.0378,0.236,0.0864,0.769,126.01,209.32,4
Love & Hunger,0.747,0.547,2,-9.01,0,0.0352,0.13,0.0559,0.477,115.947,260,4
Pavane,0.546,0.614,4,-6.896,0,0.026,0.00897,0.0989,0.498,128.077,193.6,4
Collages,0.781,0.611,10,-10.878,1,0.0472,0.0968,0.11,0.349,117.98,245.916,4
Lisbon,0.631,0.857,10,-8.787,0,0.0296,0.395,0.0739,0.713,120.023,261.573,4
Lazy Thursday Afternoon,0.754,0.653,8,-4.918,1,0.0481,0.239,0.125,0.176,120.007,147.371,4
Shining (Bart&Baker In Space Remix),0.812,0.582,9,-9.309,0,0.0865,0.554,0.105,0.589,124.001,324.2,4
Cloudy Mirror,0.492,0.562,3,-10.117,1,0.0332,0.501,0.104,0.238,157.956,194,3
Moon,0.391,0.704,11,-9.04,0,0.0295,0.00293,0.175,0.564,172.46,215.142,3
Butterfly,0.727,0.774,5,-5.909,0,0.0297,0.0196,0.193,0.716,125.023,168,4
Dancing Alone (feat. Jeanne Added),0.781,0.482,5,-8.626,0,0.0598,0.0122,0.0697,0.794,104.961,206.701,4
Lost Ode,0.342,0.596,5,-7.295,1,0.0657,0.0408,0.502,0.0889,128.781,279.685,4
Holding On,0.606,0.503,4,-9.411,0,0.0264,0.00681,0.147,0.246,104.999,205.505,4
The Tramp and the Radio,0.635,0.615,10,-10.33,0,0.0295,0.383,0.118,0.574,114.992,186.747,4
Who Wants It,0.656,0.879,7,-4.342,1,0.285,0.0191,0.13,0.765,174.955,201.125,4
Storm,0.44,0.344,0,-10.156,0,0.0406,0.533,0.362,0.0626,116.929,283.164,4
H_licon,0.693,0.748,0,-8.375,1,0.0763,0.467,0.29,0.702,120.016,248.875,4
Foggy Lagoon,0.593,0.818,8,-9.247,1,0.0357,0.394,0.117,0.249,114.997,270.048,4
Winter XIII,0.351,0.711,4,-7.522,1,0.0416,0.000706,0.15,0.277,119.975,294.095,4
One Time Too Many,0.52,0.7,2,-8.557,0,0.0398,0.000246,0.0462,0.214,160.005,217.28,4
Paper Child - Jabberwocky Remix,0.6,0.755,11,-6.172,0,0.0253,0.348,0.132,0.386,100.013,320.776,4
Skip Stones,0.654,0.638,11,-4.78,0,0.0266,0.114,0.0973,0.364,103.998,215.413,4
Woman Army,0.608,0.707,4,-7.376,0,0.0383,0.0947,0.11,0.0862,113.985,308.46,4
